review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2025-09-01,1001212.31,828840.51,172371.81,5,82.78,MSFT,4.51
2025-09-08,997629.92,818839.9,178790.02,5,82.08,MSFT,4.45
2025-09-15,1004191.99,773658.48,230533.52,5,77.04,MSFT,6.59
2025-09-22,1010284.04,728299.72,281984.32,5,72.09,MSFT,8.56
2025-09-29,1008459.81,688520.14,319939.67,5,68.27,MSFT,10.0
2025-10-06,1019722.33,643305.94,376416.39,5,63.09,NVDA,10.04
2025-10-13,1015722.53,610914.67,404807.86,5,60.15,NVDA,10.03
2025-10-20,1028240.8,603628.52,424612.29,5,58.7,AMD,10.01
2025-10-27,1032593.13,593483.75,439109.38,5,57.48,AAPL,10.14
2025-11-03,1011500.82,554917.56,456583.26,5,54.86,AAPL,10.24
2025-11-10,991558.64,523684.08,467874.57,5,52.81,MSFT,10.21
2025-11-17,979328.24,523196.8,456131.44,5,53.42,MSFT,10.37
2025-11-24,953044.03,511989.38,441054.65,5,53.72,NVDA,10.13
2025-12-01,961603.5,511989.38,449614.12,5,53.24,AAPL,10.3
2025-12-08,962759.45,485562.63,477196.82,5,50.43,NVDA,10.19
2025-12-15,945038.32,472946.65,472091.67,5,50.05,AAPL,10.09
2025-12-22,948619.36,469619.56,478999.81,5,49.51,NVDA,10.24
2025-12-29,952307.18,469619.56,482687.63,5,49.31,NVDA,10.45
2026-01-05,949635.9,467659.46,481976.44,5,49.25,NVDA,10.48
2026-01-12,937945.34,467659.46,470285.88,5,49.86,NVDA,10.43
2026-01-19,941208.5,463168.14,478040.36,5,49.21,AMD,10.95
2026-01-26,911598.59,438948.6,472649.99,5,48.15,META,10.55
2026-02-02,900282.37,427433.57,472848.8,5,47.48,META,11.22
2026-02-09,886435.55,421291.95,465143.61,5,47.53,NVDA,11.05
2026-02-16,864789.09,421291.95,443497.15,5,48.72,NVDA,10.9
2026-02-23,864132.85,415472.88,448659.97,5,48.08,NVDA,11.43
