ticker,action_count,initiate_count,exit_count,hold_count,avg_forward_5d_pct,avg_forward_20d_pct,avg_forward_60d_pct,doc_count,claim_count,price_coverage_pct
AAPL,7,1,0,6,0.27,0.55,1.14,3,7,98.7
AMD,16,1,0,15,-0.72,4.48,18.56,6,20,98.7
AMZN,7,1,0,6,-1.64,-2.47,-9.13,3,8,98.7
AVGO,15,1,0,14,-0.81,-0.68,2.95,7,25,98.7
CRM,15,1,0,14,-0.18,1.1,0.06,6,16,98.7
CRWD,16,1,0,15,-0.06,1.49,5.27,5,18,98.7
GOOGL,0,0,0,0,,,,5,14,98.7
INTC,16,1,0,15,2.89,9.31,19.73,13,28,98.7
META,7,1,0,6,0.26,2.44,3.59,5,14,98.7
MSFT,11,1,0,10,-1.06,-1.98,-7.06,4,11,98.7
NOW,12,1,0,11,-1.1,-3.58,-12.77,6,10,98.7
NVDA,16,1,0,15,-1.09,0.11,0.98,4,8,98.7
PLTR,7,1,0,6,-2.11,-0.36,-14.21,2,6,98.7
QCOM,16,1,0,15,-0.25,0.85,3.48,6,12,98.7
TSLA,15,1,0,14,-0.06,1.86,2.67,5,16,98.7
