review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2024-07-31,1000000,1000000,0,0,100.0,,0.0
2024-08-07,1000000,1000000,0,0,100.0,,0.0
2024-08-14,1000000,1000000,0,0,100.0,,0.0
2024-08-21,1000000,1000000,0,0,100.0,,0.0
2024-08-28,1000000,1000000,0,0,100.0,,0.0
2024-09-04,1000000,1000000,0,0,100.0,,0.0
2024-09-11,1000000,1000000,0,0,100.0,,0.0
2024-09-18,1000000,1000000,0,0,100.0,,0.0
2024-09-25,1000000,1000000,0,0,100.0,,0.0
2024-10-02,1000000,1000000,0,0,100.0,,0.0
2024-10-09,1000000,1000000,0,0,100.0,,0.0
2024-10-16,1000000,1000000,0,0,100.0,,0.0
2024-10-23,1000000,1000000,0,0,100.0,,0.0
2024-10-30,1000000,1000000,0,0,100.0,,0.0
2024-11-06,1000000,1000000,0,0,100.0,,0.0
2024-11-13,1000000,1000000,0,0,100.0,,0.0
2024-11-20,1000000,1000000,0,0,100.0,,0.0
2024-11-27,1000000,1000000,0,0,100.0,,0.0
2024-12-04,1000000,1000000,0,0,100.0,,0.0
2024-12-11,1000000,1000000,0,0,100.0,,0.0
2024-12-18,1000000,1000000,0,0,100.0,,0.0
2024-12-25,1000000,1000000,0,0,100.0,,0.0
2025-01-01,1000000,1000000,0,0,100.0,,0.0
