review_date,total_value,cash,invested,num_positions,cash_weight_pct,top_holding,top_holding_weight
2025-09-01,1000000,1000000,0,0,100.0,,0.0
2025-09-08,1000000,1000000,0,0,100.0,,0.0
2025-09-15,1000000,1000000,0,0,100.0,,0.0
2025-09-22,1000000,1000000,0,0,100.0,,0.0
2025-09-29,1000000,1000000,0,0,100.0,,0.0
2025-10-06,1000000,1000000,0,0,100.0,,0.0
2025-10-13,1000000,1000000,0,0,100.0,,0.0
2025-10-20,1000000,1000000,0,0,100.0,,0.0
2025-10-27,1000000,1000000,0,0,100.0,,0.0
2025-11-03,1000000,1000000,0,0,100.0,,0.0
2025-11-10,1000000,1000000,0,0,100.0,,0.0
2025-11-17,1000000,1000000,0,0,100.0,,0.0
2025-11-24,1000000,1000000,0,0,100.0,,0.0
2025-12-01,1000000,1000000,0,0,100.0,,0.0
2025-12-08,1000000,1000000,0,0,100.0,,0.0
2025-12-15,1000000,1000000,0,0,100.0,,0.0
2025-12-22,1000000,1000000,0,0,100.0,,0.0
2025-12-29,1000000,1000000,0,0,100.0,,0.0
2026-01-05,1000000,1000000,0,0,100.0,,0.0
2026-01-12,1000000,1000000,0,0,100.0,,0.0
2026-01-19,1000000,1000000,0,0,100.0,,0.0
2026-01-26,1000000,1000000,0,0,100.0,,0.0
2026-02-02,1000000,1000000,0,0,100.0,,0.0
2026-02-09,1000000,1000000,0,0,100.0,,0.0
2026-02-16,1000000,1000000,0,0,100.0,,0.0
2026-02-23,1000000,1000000,0,0,100.0,,0.0
