review_date,ticker,thesis_conviction,action_score,prior_action,prior_conviction,preceded_by_probation,probation_date,forward_5d_pct,forward_20d_pct,forward_60d_pct,premature_exit_20d,premature_exit_60d
2024-09-06,AMAT,56.5,86.0,hold,56.5,False,,6.4,19.95,6.71,True,False
2024-08-07,AMD,57.2,86.0,hold,58.4,False,,6.3,16.97,32.82,True,True
2024-08-04,INTC,55.6,86.0,initiate,58.0,False,,-7.66,-3.77,4.29,False,False
2024-08-03,LRCX,50.0,86.0,initiate,79.5,False,,4.74,11.06,7.02,True,False
2024-08-02,MU,48.8,86.0,initiate,48.8,False,,-6.36,12.47,8.21,True,False
