ticker,action_count,initiate_count,exit_count,hold_count,avg_forward_5d_pct,avg_forward_20d_pct,avg_forward_60d_pct,doc_count,claim_count,price_coverage_pct
AAPL,0,0,0,0,,,,3,10,90.9
AMD,0,0,0,0,,,,6,16,90.9
AMZN,0,0,0,0,,,,3,9,90.9
AVGO,0,0,0,0,,,,7,27,90.9
CRM,0,0,0,0,,,,6,17,90.9
CRWD,0,0,0,0,,,,5,19,90.9
GOOGL,0,0,0,0,,,,5,14,90.9
INTC,0,0,0,0,,,,13,28,90.9
META,0,0,0,0,,,,5,14,90.9
MSFT,0,0,0,0,,,,4,11,90.9
NOW,0,0,0,0,,,,6,13,90.9
NVDA,0,0,0,0,,,,4,8,90.9
PLTR,0,0,0,0,,,,2,6,90.9
QCOM,0,0,0,0,,,,6,13,90.9
TSLA,0,0,0,0,,,,5,13,90.9
